n, F
1,4.55527030729e-05
2,-3.93230072105e-05
3,-0.000134431152698
4,-0.0002094319692
5,-0.000266357816555
6,-0.000310942296148
7,-0.000347543376681
8,-0.00037891386422
9,-0.000406701573993
10,-0.000431882448284
11,-0.000455041164238
12,-0.000476538245303
13,-0.000496606542082
14,-0.000515406217904
15,-0.000533055857521
16,-0.000549649942823
17,-0.000565268575434
18,-0.000579982810725
19,-0.000593857528158
20,-0.000606952938272
21,-0.00061932535306
22,-0.000631027573714
23,-0.000642109092555
24,-0.000652616215686
25,-0.000662592161429
26,-0.000672077160687
27,-0.000681108569562
28,-0.000689720996272
29,-0.00069794644044
30,-0.000705814441186
31,-0.00071335223014
32,-0.000720584885796
33,-0.000727535486166
34,-0.000734225257365
35,-0.000740673716355
36,-0.000746898806637
37,-0.000752917026105
38,-0.00075874354667
39,-0.000764392325523
40,-0.000769876208115
41,-0.000775207023115
42,-0.000780395669656
43,-0.000785452197314
44,-0.000790385879253
45,-0.000795205279004
46,-0.000799918311368
47,-0.000804532297887
48,-0.000809054017341
49,-0.000813489751686
50,-0.000817845327847
51,-0.00082212615571
52,-0.000826337262692
53,-0.000830483325168
54,-0.000834568697083
55,-0.000838597435978
56,-0.000842573326703
57,-0.000846499903011
58,-0.00085038046725
59,-0.000854218108325
60,-0.000858015718093
61,-0.00086177600634
62,-0.000865501514477
63,-0.000869194628059
64,-0.000872857588266
65,-0.000876492502406
66,-0.000880101353559
67,-0.000883686009424
68,-0.000887248230453
69,-0.000890789677322
70,-0.000894311917809
71,-0.000897816433137
72,-0.000901304623806
73,-0.000904777814987
74,-0.000908237261498
75,-0.0009116841524
76,-0.00091511961525
77,-0.000918544720042
78,-0.000921960482851
79,-0.000925367869214
80,-0.000928767797273
81,-0.000932161140683
82,-0.000935548731324
83,-0.000938931361818
84,-0.000942309787876
85,-0.000945684730476
86,-0.000949056877904
87,-0.000952426887647
88,-0.00095579538817
89,-0.000959162980568
90,-0.000962530240113
91,-0.000965897717701
92,-0.000969265941209
93,-0.000972635416758
94,-0.000976006629906
95,-0.000979380046758
96,-0.000982756115018
97,-0.000986135264963
98,-0.000989517910371
99,-0.000992904449383
100,-0.000996295265323
101,-0.000999690727461
102,-0.00100309119173
103,-0.00100649700143
104,-0.00100990848784
105,-0.00101332597082
106,-0.00101674975941
107,-0.00102018015237
108,-0.00102361743864
109,-0.00102706189787
110,-0.00103051380084
111,-0.00103397340993
112,-0.00103744097949
113,-0.00104091675623
114,-0.00104440097959
115,-0.0010478938821
116,-0.00105139568967
117,-0.00105490662195
118,-0.00105842689256
119,-0.00106195670944
120,-0.00106549627507
121,-0.00106904578672
122,-0.00107260543671
123,-0.00107617541263
124,-0.00107975589755
125,-0.00108334707024
126,-0.00108694910534
127,-0.00109056217357
128,-0.0010941864419
129,-0.00109782207373
130,-0.001101469229
131,-0.00110512806443
132,-0.00110879873358
133,-0.00111248138706
134,-0.0011161761726
135,-0.00111988323522
136,-0.00112360271736
137,-0.00112733475894
138,-0.00113107949754
139,-0.00113483706843
140,-0.00113860760476
141,-0.00114239123757
142,-0.00114618809594
143,-0.00114999830707
144,-0.00115382199633
145,-0.00115765928738
146,-0.00116151030223
147,-0.00116537516133
148,-0.00116925398362
149,-0.00117314688659
150,-0.0011770539864
151,-0.00118097539788
152,-0.00118491123461
153,-0.00118886160902
154,-0.00119282663236
155,-0.00119680641485
156,-0.00120080106565
157,-0.00120481069296
158,-0.00120883540405
159,-0.0012128753053
160,-0.00121693050224
161,-0.00122100109962
162,-0.00122508720143
163,-0.00122918891093
164,-0.0012333063307
165,-0.00123743956267
166,-0.00124158870819
167,-0.00124575386798
168,-0.00124993514225
169,-0.00125413263069
170,-0.0012583464325
171,-0.00126257664642
172,-0.00126682337077
173,-0.00127108670346
174,-0.00127536674204
175,-0.00127966358369
176,-0.00128397732527
177,-0.00128830806334
178,-0.00129265589417
179,-0.00129702091379
180,-0.00130140321797
